title,url,procedure_id,page_number,description
AfCFTA certificate of origin,https://rwandatrade.rw/procedure/916?l=en,916,1,The Africa Continental Free Trade Area (AfCFTA) certificate of origin only applies to goods to be exported to a country that has ratified the AfCFTA agreement.
AGOA certificate of origin,https://rwandatrade.rw/procedure/23?l=en,23,1,"The African Growth and Opportunity Act (AGOA) is granted if countries have a ‘visa system’ in place that allows tracking the origin and movement of goods effectively, rules of origin are complied with and certain labour and democratic standards are met."
Agrochemical business operator license,https://rwandatrade.rw/procedure/937?l=en,937,1,"All businesses trading in any chemical or material used for agricultural purposes, must be licensed by the Rwanda Inspectorate, Competition and Consumer Protection Authority (RICA)."
Agrochemical premises registration,https://rwandatrade.rw/procedure/934?l=en,934,1,"In order to trade in any chemical or material used for agricultural purposes, the business owner must first register their premises with the Rwanda Inspectorate, Competition and Consumer Protection Authority (RICA)."
Agrochemical registration,https://rwandatrade.rw/procedure/994?l=en,994,1,Registration of Agrochemicals is done by RICA.
Belgium certificate of origin,https://rwandatrade.rw/procedure/49?l=en,49,1,The Belgium certificate of origin is only required for goods benefiting from duty free treatment for export to Belgium.
Business operator license - new EEE,https://rwandatrade.rw/procedure/962?l=en,962,1,"Any business operator who wishes to manufacture or import the products and put them on the Rwandan market shall have to be licensed by the Rwanda Inspectorate, Competition and Consumer Protection Authority (RICA)."
Business operator license - used EEE,https://rwandatrade.rw/procedure/963?l=en,963,1,
Certificate of origin,https://rwandatrade.rw/procedure/179?l=en,179,1,"Certificate of origin refers to a document that attests in which country export goods have been obtained, produced, manufactured or processed. It is necessary to profit from trade agreements, such as existing arrangements with EAC, COMESA or EU countries; that grant to certain export products from Rwanda preferable market access."
Certificates of origin and quality,https://rwandatrade.rw/procedure/177?l=en,177,1,"A certificate of origin refers to a document that attests in which country export goods have been obtained, produced, manufactured or processed. It is issued by the National Agricultural Export Development Board (NAEB); and is necessary to profit from trade agreements that grant to certain export products from Rwanda preferable market access.
A certificate of quality, also issued by NAEB, specifies the type and grade of the coffee to be exported."
China certificate of origin,https://rwandatrade.rw/procedure/25?l=en,25,1,The China certificate of origin is only required for goods benefiting from duty free treatment for export to China.
Clearance of animal products at Cyanika border,https://rwandatrade.rw/procedure/631?l=en,631,1,Customs declaration is registered and assessed by a clearing agent appointed by the importer of goods. The clearing agency and/or trader are liable for all information declared on customs declaration.
Clearance of animal products at Cyanika border (simplified declaration),https://rwandatrade.rw/procedure/632?l=en,632,1,"Dutiable goods with customs value not exceeding Frw 500,000 may be cleared using simplified declaration. Customs simplified declaration is registered and assessed by Customs officers in order to facilitate small cross border traders declaring small consignments at the borders, bus terminals or post offices."
Clearance of animal products at Dar Es Salaam Port - Home consumption,https://rwandatrade.rw/procedure/705?l=en,705,1,"Home consumption entry is done in order to pay duties, taxes and fee collected by customs before goods are allowed to be used within the country without any subsequent tax due."
Clearance of animal products at Dar Es Salaam Port - Warehousing,https://rwandatrade.rw/procedure/704?l=en,704,1,Any warehouse operator may allowed by the Customs department to keep imported dutiable goods in bonded warehouse duly licensed without payment of duty on first importation. Goods shall be entered and exited a bonded warehouse under customs control.
Clearance of animal products at Gatuna border,https://rwandatrade.rw/procedure/268?l=en,268,1,Customs declaration is registered and assessed by a clearing agent appointed by the importer of goods. The clearing agency and/or trader are liable for all information declared on customs declaration.
Clearance of animal products at Gatuna border (simplified declaration),https://rwandatrade.rw/procedure/119?l=en,119,1,"Dutiable goods with customs value not exceeding Frw 500,000 may be cleared using simplified declaration. Customs simplified declaration is registered and assessed by Customs officers in order to facilitate small cross border traders declaring small consignments at the borders, bus terminals or post offices."
Clearance of animal products at Gikondo Inland Customs Office,https://rwandatrade.rw/procedure/139?l=en,139,1,Customs declaration is registered and assessed by a clearing agent appointed by the importer of goods. The clearing agency and/or trader are liable for all information declared on customs declaration.
Clearance of animal products at Gikondo Inland Customs Office (simplified declaration),https://rwandatrade.rw/procedure/491?l=en,491,1,"Dutiable goods with customs value not exceeding Frw 500,000 may be cleared using simplified declaration. Customs simplified declaration is registered and assessed by Customs officers in order to facilitate small cross border traders declaring small consignments at the borders, bus terminals or post offices."
Clearance of animal products at Kagitumba border,https://rwandatrade.rw/procedure/246?l=en,246,1,Customs declaration is registered and assessed by a clearing agent appointed by the importer of goods. The clearing agency and/or trader are liable for all information declared on customs declaration.
Clearance of animal products at Kagitumba border (simplified declaration),https://rwandatrade.rw/procedure/247?l=en,247,1,"Dutiable goods with customs value not exceeding Frw 500,000 may be cleared using simplified declaration. Customs simplified declaration is registered and assessed by Customs officers in order to facilitate small cross border traders declaring small consignments at the borders, bus terminals or post offices."
Clearance of animal products at La Corniche border,https://rwandatrade.rw/procedure/269?l=en,269,1,Customs declaration is registered and assessed by a clearing agent appointed by the importer of goods. The clearing agency and/or trader are liable for all information declared on customs declaration.
Clearance of animal products at La Corniche border (simplified declaration),https://rwandatrade.rw/procedure/120?l=en,120,1,"Dutiable goods with customs value not exceeding Frw 500,000 may be cleared using simplified declaration. Customs simplified declaration is registered and assessed by Customs officers in order to facilitate small cross border traders declaring small consignments at the borders, bus terminals or post offices."
Clearance of animal products at Mombasa Port - Home consumption,https://rwandatrade.rw/procedure/286?l=en,286,1,"Home consumption entry is done in order to pay duties, taxes and fee collected by customs before goods are allowed to be used within the country without any subsequent tax due."
Clearance of animal products at Mombasa Port - Warehouse regime,https://rwandatrade.rw/procedure/406?l=en,406,1,Any warehouse operator may allowed by the Customs department to keep imported dutiable goods in bonded warehouse duly licensed without payment of duty on first importation. Goods shall be entered and exited a bonded warehouse under customs control.
Clearance of animal products at Nemba border,https://rwandatrade.rw/procedure/646?l=en,646,1,Customs declaration is registered and assessed by a clearing agent appointed by the importer of goods. The clearing agency and/or trader are liable for all information declared on customs declaration.
Clearance of animal products at Nemba border (simplified declaration),https://rwandatrade.rw/procedure/647?l=en,647,1,"Dutiable goods with customs value not exceeding Frw 500,000 may be cleared using simplified declaration. Customs simplified declaration is registered and assessed by Customs officers in order to facilitate small cross border traders declaring small consignments at the borders, bus terminals or post offices."
Clearance of animal products at Poids Lourds border,https://rwandatrade.rw/procedure/272?l=en,272,1,Customs declaration is registered and assessed by a clearing agent appointed by the importer of goods. The clearing agency and/or trader are liable for all information declared on customs declaration.
Clearance of animal products at Poids Lourds border (simplified declaration),https://rwandatrade.rw/procedure/274?l=en,274,1,"Dutiable goods with customs value not exceeding Frw 500,000 may be cleared using simplified declaration. Customs simplified declaration is registered and assessed by Customs officers in order to facilitate small cross border traders declaring small consignments at the borders, bus terminals or post offices."
Clearance of animal products at Rusizi I border,https://rwandatrade.rw/procedure/291?l=en,291,1,Customs declaration is registered and assessed by a clearing agent appointed by the importer of goods. The clearing agency and/or trader are liable for all information declared on customs declaration.
Clearance of animal products at Rusizi I border (simplified declaration),https://rwandatrade.rw/procedure/293?l=en,293,2,"Dutiable goods with customs value not exceeding Frw 500,000 may be cleared using simplified declaration. Customs simplified declaration is registered and assessed by Customs officers in order to facilitate small cross border traders declaring small consignments at the borders, bus terminals or post offices."
Clearance of animal products at Rusizi II border,https://rwandatrade.rw/procedure/292?l=en,292,2,Customs declaration is registered and assessed by a clearing agent appointed by the importer of goods. The clearing agency and/or trader are liable for all information declared on customs declaration.
Clearance of animal products at Rusizi II border (simplified declaration),https://rwandatrade.rw/procedure/294?l=en,294,2,"Dutiable goods with customs value not exceeding Frw 500,000 may be cleared using simplified declaration. Customs simplified declaration is registered and assessed by Customs officers in order to facilitate small cross border traders declaring small consignments at the borders, bus terminals or post offices."
Clearance of animal products at Rusumo border,https://rwandatrade.rw/procedure/97?l=en,97,2,Customs declaration is registered and assessed by a clearing agent appointed by the importer of goods. The clearing agency and/or trader are liable for all information declared on customs declaration.
Clearance of animal products at Rusumo border (simplified declaration),https://rwandatrade.rw/procedure/154?l=en,154,2,"Dutiable goods with customs value not exceeding Frw 500,000 may be cleared using simplified declaration. Customs simplified declaration is registered and assessed by Customs officers in order to facilitate small cross border traders declaring small consignments at the borders, bus terminals or post offices."
Clearance of cattle at Cyanika border,https://rwandatrade.rw/procedure/634?l=en,634,2,Customs declaration is registered and assessed by a clearing agent appointed by the importer of goods. The clearing agency and/or trader are liable for all information declared on customs declaration.
Clearance of cattle at Cyanika border (simplified declaration),https://rwandatrade.rw/procedure/635?l=en,635,2,"Dutiable goods with customs value not exceeding Frw 500,000 may be cleared using simplified declaration. Customs simplified declaration is registered and assessed by Customs officers in order to facilitate small cross border traders declaring small consignments at the borders, bus terminals or post offices."
Clearance of cattle at Gatuna border,https://rwandatrade.rw/procedure/449?l=en,449,2,Customs declaration is registered and assessed by a clearing agent appointed by the importer of goods. The clearing agency and/or trader are liable for all information declared on customs declaration.
Clearance of cattle at Gatuna border (simplified declaration),https://rwandatrade.rw/procedure/475?l=en,475,2,"Dutiable goods with customs value not exceeding Frw 500,000 may be cleared using simplified declaration. Customs simplified declaration is registered and assessed by Customs officers in order to facilitate small cross border traders declaring small consignments at the borders, bus terminals or post offices."
Clearance of cattle at Gikondo Inland Customs Office,https://rwandatrade.rw/procedure/448?l=en,448,2,Customs declaration is registered and assessed by a clearing agent appointed by the importer of goods. The clearing agency and/or trader are liable for all information declared on customs declaration.
